row_id,timestamp,point_path,equipment,alarm_class,priority,transition,value,limit,deadband,units
R00001,2026-07-13T02:00:00-07:00,SYN1/AHU-1/RA_TEMP,AHU-1,DefaultAlarmClass,2,ALARM,78.141,78.000,1.000,degF
R00002,2026-07-13T02:04:00-07:00,SYN1/AHU-1/RA_TEMP,AHU-1,DefaultAlarmClass,2,RTN,76.968,78.000,1.000,degF
R00003,2026-07-13T02:06:00-07:00,SYN1/AHU-1/RA_TEMP,AHU-1,DefaultAlarmClass,2,ALARM,78.176,78.000,1.000,degF
R00004,2026-07-13T02:10:00-07:00,SYN1/AHU-1/RA_TEMP,AHU-1,DefaultAlarmClass,2,RTN,76.920,78.000,1.000,degF
R00005,2026-07-13T02:12:00-07:00,SYN1/AHU-1/RA_TEMP,AHU-1,DefaultAlarmClass,2,ALARM,78.111,78.000,1.000,degF
R00006,2026-07-13T02:16:00-07:00,SYN1/AHU-1/RA_TEMP,AHU-1,DefaultAlarmClass,2,RTN,76.960,78.000,1.000,degF
R00007,2026-07-13T02:18:00-07:00,SYN1/AHU-1/RA_TEMP,AHU-1,DefaultAlarmClass,2,ALARM,78.140,78.000,1.000,degF
R00008,2026-07-13T02:22:00-07:00,SYN1/AHU-1/RA_TEMP,AHU-1,DefaultAlarmClass,2,RTN,76.903,78.000,1.000,degF
R00009,2026-07-13T02:24:00-07:00,SYN1/AHU-1/RA_TEMP,AHU-1,DefaultAlarmClass,2,ALARM,78.120,78.000,1.000,degF
R00010,2026-07-13T02:28:00-07:00,SYN1/AHU-1/RA_TEMP,AHU-1,DefaultAlarmClass,2,RTN,76.975,78.000,1.000,degF
R00011,2026-07-13T02:30:00-07:00,SYN1/AHU-1/RA_TEMP,AHU-1,DefaultAlarmClass,2,ALARM,78.189,78.000,1.000,degF
R00012,2026-07-13T02:34:00-07:00,SYN1/AHU-1/RA_TEMP,AHU-1,DefaultAlarmClass,2,RTN,76.946,78.000,1.000,degF
R00013,2026-07-13T02:36:00-07:00,SYN1/AHU-1/RA_TEMP,AHU-1,DefaultAlarmClass,2,ALARM,78.199,78.000,1.000,degF
R00014,2026-07-13T02:40:00-07:00,SYN1/AHU-1/RA_TEMP,AHU-1,DefaultAlarmClass,2,RTN,76.916,78.000,1.000,degF
R00015,2026-07-13T02:42:00-07:00,SYN1/AHU-1/RA_TEMP,AHU-1,DefaultAlarmClass,2,ALARM,78.159,78.000,1.000,degF
R00016,2026-07-13T02:46:00-07:00,SYN1/AHU-1/RA_TEMP,AHU-1,DefaultAlarmClass,2,RTN,76.947,78.000,1.000,degF
R00017,2026-07-13T02:48:00-07:00,SYN1/AHU-1/RA_TEMP,AHU-1,DefaultAlarmClass,2,ALARM,78.101,78.000,1.000,degF
R00018,2026-07-13T02:52:00-07:00,SYN1/AHU-1/RA_TEMP,AHU-1,DefaultAlarmClass,2,RTN,76.908,78.000,1.000,degF
R00019,2026-07-13T02:54:00-07:00,SYN1/AHU-1/RA_TEMP,AHU-1,DefaultAlarmClass,2,ALARM,78.186,78.000,1.000,degF
R00020,2026-07-13T02:58:00-07:00,SYN1/AHU-1/RA_TEMP,AHU-1,DefaultAlarmClass,2,RTN,76.916,78.000,1.000,degF
R00021,2026-07-13T03:00:00-07:00,SYN1/AHU-1/RA_TEMP,AHU-1,DefaultAlarmClass,2,ALARM,78.149,78.000,1.000,degF
R00022,2026-07-13T03:04:00-07:00,SYN1/AHU-1/RA_TEMP,AHU-1,DefaultAlarmClass,2,RTN,76.941,78.000,1.000,degF
R00023,2026-07-13T03:06:00-07:00,SYN1/AHU-1/RA_TEMP,AHU-1,DefaultAlarmClass,2,ALARM,78.188,78.000,1.000,degF
R00024,2026-07-13T03:10:00-07:00,SYN1/AHU-1/RA_TEMP,AHU-1,DefaultAlarmClass,2,RTN,76.889,78.000,1.000,degF
R00025,2026-07-13T03:12:00-07:00,SYN1/AHU-1/RA_TEMP,AHU-1,DefaultAlarmClass,2,ALARM,78.197,78.000,1.000,degF
R00026,2026-07-13T03:16:00-07:00,SYN1/AHU-1/RA_TEMP,AHU-1,DefaultAlarmClass,2,RTN,76.912,78.000,1.000,degF
R00027,2026-07-13T03:18:00-07:00,SYN1/AHU-1/RA_TEMP,AHU-1,DefaultAlarmClass,2,ALARM,78.139,78.000,1.000,degF
R00028,2026-07-13T03:22:00-07:00,SYN1/AHU-1/RA_TEMP,AHU-1,DefaultAlarmClass,2,RTN,76.968,78.000,1.000,degF
R00029,2026-07-13T03:24:00-07:00,SYN1/AHU-1/RA_TEMP,AHU-1,DefaultAlarmClass,2,ALARM,78.137,78.000,1.000,degF
R00030,2026-07-13T03:28:00-07:00,SYN1/AHU-1/RA_TEMP,AHU-1,DefaultAlarmClass,2,RTN,76.953,78.000,1.000,degF
R00031,2026-07-13T03:30:00-07:00,SYN1/AHU-1/RA_TEMP,AHU-1,DefaultAlarmClass,2,ALARM,78.162,78.000,1.000,degF
R00032,2026-07-13T03:31:00-07:00,SYN1/RTU-3/DA_TEMP,RTU-3,CriticalAlarmClass,1,ALARM,69.564,62.000,1.500,degF
R00033,2026-07-13T03:34:00-07:00,SYN1/AHU-1/RA_TEMP,AHU-1,DefaultAlarmClass,2,RTN,76.927,78.000,1.000,degF
R00034,2026-07-13T03:36:00-07:00,SYN1/AHU-1/RA_TEMP,AHU-1,DefaultAlarmClass,2,ALARM,78.128,78.000,1.000,degF
R00035,2026-07-13T03:40:00-07:00,SYN1/AHU-1/RA_TEMP,AHU-1,DefaultAlarmClass,2,RTN,76.961,78.000,1.000,degF
R00036,2026-07-13T03:42:00-07:00,SYN1/AHU-1/RA_TEMP,AHU-1,DefaultAlarmClass,2,ALARM,78.126,78.000,1.000,degF
R00037,2026-07-13T03:46:00-07:00,SYN1/AHU-1/RA_TEMP,AHU-1,DefaultAlarmClass,2,RTN,76.941,78.000,1.000,degF
R00038,2026-07-13T03:48:00-07:00,SYN1/AHU-1/RA_TEMP,AHU-1,DefaultAlarmClass,2,ALARM,78.116,78.000,1.000,degF
R00039,2026-07-13T03:52:00-07:00,SYN1/AHU-1/RA_TEMP,AHU-1,DefaultAlarmClass,2,RTN,76.980,78.000,1.000,degF
R00040,2026-07-13T03:54:00-07:00,SYN1/AHU-1/RA_TEMP,AHU-1,DefaultAlarmClass,2,ALARM,78.139,78.000,1.000,degF
R00041,2026-07-13T03:58:00-07:00,SYN1/AHU-1/RA_TEMP,AHU-1,DefaultAlarmClass,2,RTN,76.973,78.000,1.000,degF
R00042,2026-07-13T04:01:00-07:00,SYN1/AHU-1/SA_TEMP,AHU-1,CriticalAlarmClass,2,ALARM,71.569,58.000,1.500,degF
R00043,2026-07-13T04:31:00-07:00,SYN1/RTU-3/DA_TEMP,RTU-3,CriticalAlarmClass,1,REPEAT,69.348,62.000,1.500,degF
R00044,2026-07-13T05:01:00-07:00,SYN1/AHU-1/SA_SP,AHU-1,DefaultAlarmClass,3,ALARM,1.624,1.600,0.040,inH2O
R00045,2026-07-13T05:01:00-07:00,SYN1/AHU-1/SA_TEMP,AHU-1,CriticalAlarmClass,2,REPEAT,71.736,58.000,1.500,degF
R00046,2026-07-13T05:03:00-07:00,SYN1/AHU-1/SA_SP,AHU-1,DefaultAlarmClass,3,RTN,1.540,1.600,0.040,inH2O
R00047,2026-07-13T05:05:00-07:00,SYN1/AHU-1/SA_SP,AHU-1,DefaultAlarmClass,3,ALARM,1.623,1.600,0.040,inH2O
R00048,2026-07-13T05:07:00-07:00,SYN1/AHU-1/SA_SP,AHU-1,DefaultAlarmClass,3,RTN,1.540,1.600,0.040,inH2O
R00049,2026-07-13T05:09:00-07:00,SYN1/AHU-1/SA_SP,AHU-1,DefaultAlarmClass,3,ALARM,1.624,1.600,0.040,inH2O
R00050,2026-07-13T05:11:00-07:00,SYN1/AHU-1/SA_SP,AHU-1,DefaultAlarmClass,3,RTN,1.538,1.600,0.040,inH2O
R00051,2026-07-13T05:13:00-07:00,SYN1/AHU-1/SA_SP,AHU-1,DefaultAlarmClass,3,ALARM,1.622,1.600,0.040,inH2O
R00052,2026-07-13T05:15:00-07:00,SYN1/AHU-1/SA_SP,AHU-1,DefaultAlarmClass,3,RTN,1.538,1.600,0.040,inH2O
R00053,2026-07-13T05:17:00-07:00,SYN1/AHU-1/SA_SP,AHU-1,DefaultAlarmClass,3,ALARM,1.623,1.600,0.040,inH2O
R00054,2026-07-13T05:19:00-07:00,SYN1/AHU-1/SA_SP,AHU-1,DefaultAlarmClass,3,RTN,1.540,1.600,0.040,inH2O
R00055,2026-07-13T05:21:00-07:00,SYN1/AHU-1/SA_SP,AHU-1,DefaultAlarmClass,3,ALARM,1.625,1.600,0.040,inH2O
R00056,2026-07-13T05:23:00-07:00,SYN1/AHU-1/SA_SP,AHU-1,DefaultAlarmClass,3,RTN,1.539,1.600,0.040,inH2O
R00057,2026-07-13T05:25:00-07:00,SYN1/AHU-1/SA_SP,AHU-1,DefaultAlarmClass,3,ALARM,1.626,1.600,0.040,inH2O
R00058,2026-07-13T05:27:00-07:00,SYN1/AHU-1/SA_SP,AHU-1,DefaultAlarmClass,3,RTN,1.542,1.600,0.040,inH2O
R00059,2026-07-13T05:29:00-07:00,SYN1/AHU-1/SA_SP,AHU-1,DefaultAlarmClass,3,ALARM,1.622,1.600,0.040,inH2O
R00060,2026-07-13T05:31:00-07:00,SYN1/AHU-1/SA_SP,AHU-1,DefaultAlarmClass,3,RTN,1.542,1.600,0.040,inH2O
R00061,2026-07-13T05:31:00-07:00,SYN1/RTU-3/DA_TEMP,RTU-3,CriticalAlarmClass,1,REPEAT,69.649,62.000,1.500,degF
R00062,2026-07-13T05:33:00-07:00,SYN1/AHU-1/SA_SP,AHU-1,DefaultAlarmClass,3,ALARM,1.622,1.600,0.040,inH2O
R00063,2026-07-13T05:35:00-07:00,SYN1/AHU-1/SA_SP,AHU-1,DefaultAlarmClass,3,RTN,1.539,1.600,0.040,inH2O
R00064,2026-07-13T05:37:00-07:00,SYN1/AHU-1/SA_SP,AHU-1,DefaultAlarmClass,3,ALARM,1.622,1.600,0.040,inH2O
R00065,2026-07-13T05:39:00-07:00,SYN1/AHU-1/SA_SP,AHU-1,DefaultAlarmClass,3,RTN,1.542,1.600,0.040,inH2O
R00066,2026-07-13T05:41:00-07:00,SYN1/AHU-1/SA_SP,AHU-1,DefaultAlarmClass,3,ALARM,1.624,1.600,0.040,inH2O
R00067,2026-07-13T05:43:00-07:00,SYN1/AHU-1/SA_SP,AHU-1,DefaultAlarmClass,3,RTN,1.539,1.600,0.040,inH2O
R00068,2026-07-13T05:45:00-07:00,SYN1/AHU-1/SA_SP,AHU-1,DefaultAlarmClass,3,ALARM,1.625,1.600,0.040,inH2O
R00069,2026-07-13T05:47:00-07:00,SYN1/AHU-1/SA_SP,AHU-1,DefaultAlarmClass,3,RTN,1.538,1.600,0.040,inH2O
R00070,2026-07-13T05:49:00-07:00,SYN1/AHU-1/SA_SP,AHU-1,DefaultAlarmClass,3,ALARM,1.625,1.600,0.040,inH2O
R00071,2026-07-13T05:51:00-07:00,SYN1/AHU-1/SA_SP,AHU-1,DefaultAlarmClass,3,RTN,1.540,1.600,0.040,inH2O
R00072,2026-07-13T05:53:00-07:00,SYN1/AHU-1/SA_SP,AHU-1,DefaultAlarmClass,3,ALARM,1.624,1.600,0.040,inH2O
R00073,2026-07-13T05:55:00-07:00,SYN1/AHU-1/SA_SP,AHU-1,DefaultAlarmClass,3,RTN,1.540,1.600,0.040,inH2O
R00074,2026-07-13T05:57:00-07:00,SYN1/AHU-1/SA_SP,AHU-1,DefaultAlarmClass,3,ALARM,1.624,1.600,0.040,inH2O
R00075,2026-07-13T05:59:00-07:00,SYN1/AHU-1/SA_SP,AHU-1,DefaultAlarmClass,3,RTN,1.542,1.600,0.040,inH2O
R00076,2026-07-13T06:01:00-07:00,SYN1/AHU-1/SA_SP,AHU-1,DefaultAlarmClass,3,ALARM,1.626,1.600,0.040,inH2O
R00077,2026-07-13T06:01:00-07:00,SYN1/AHU-1/SA_TEMP,AHU-1,CriticalAlarmClass,2,REPEAT,71.586,58.000,1.500,degF
R00078,2026-07-13T06:03:00-07:00,SYN1/AHU-1/SA_SP,AHU-1,DefaultAlarmClass,3,RTN,1.539,1.600,0.040,inH2O
R00079,2026-07-13T06:05:00-07:00,SYN1/AHU-1/SA_SP,AHU-1,DefaultAlarmClass,3,ALARM,1.626,1.600,0.040,inH2O
R00080,2026-07-13T06:07:00-07:00,SYN1/AHU-1/SA_SP,AHU-1,DefaultAlarmClass,3,RTN,1.540,1.600,0.040,inH2O
