row_id,timestamp,point_path,equipment,alarm_class,priority,transition,value,limit,deadband,units
R00001,2026-08-12T00:00:00-07:00,SYN1/AHU-1/RA_TEMP,AHU-1,DefaultAlarmClass,2,ALARM,78.141,78.000,1.000,degF
R00002,2026-08-12T00:01:00-07:00,SYN1/AHU-1/RA_TEMP,AHU-1,DefaultAlarmClass,2,RTN,76.968,78.000,1.000,degF
R00003,2026-08-12T00:02:00-07:00,SYN1/AHU-1/RA_TEMP,AHU-1,DefaultAlarmClass,2,ALARM,78.176,78.000,1.000,degF
R00004,2026-08-12T00:03:00-07:00,SYN1/AHU-1/RA_TEMP,AHU-1,DefaultAlarmClass,2,RTN,76.920,78.000,1.000,degF
R00005,2026-08-12T00:04:00-07:00,SYN1/AHU-1/RA_TEMP,AHU-1,DefaultAlarmClass,2,ALARM,78.111,78.000,1.000,degF
R00006,2026-08-12T00:05:00-07:00,SYN1/AHU-1/RA_TEMP,AHU-1
R00007,2026-08-12T00:06:00-07:00,SYN1/AHU-1/RA_TEMP,AHU-1,DefaultAlarmClass,2,ALARM,78.140,78.000,1.000,degF
R00008,2026-08-12T00:07:00-07:00,SYN1/AHU-1/RA_TEMP,AHU-1,DefaultAlarmClass,2,RTN,76.903,78.000,1.000,degF
R00009,2026-08-12T00:08:00-07:00,SYN1/AHU-1/RA_TEMP,AHU-1,DefaultAlarmClass,2,ALARM,78.120,78.000,1.000,degF
R00010,2026-08-12T00:09:00-07:00,SYN1/AHU-1/RA_TEMP,AHU-1,DefaultAlarmClass,2,RTN,76.975,78.000,1.000,degF
R00011,2026-08-12T00:10:00-07:00,SYN1/AHU-1/RA_TEMP,AHU-1,DefaultAlarmClass,2,ALARM,78.189,78.000,1.000,degF
R00012,2026-08-12T00:11:00-07:00,SYN1/AHU-1/RA_TEMP,AHU-1,DefaultAlarmClass,2,RTN,not-a-number,78.000,1.000,degF
R00013,2026-08-12T00:12:00-07:00,SYN1/AHU-1/RA_TEMP,AHU-1,DefaultAlarmClass,2,ALARM,78.199,78.000,1.000,degF
