sample_index,timestamp,point_path,value,units
0,2026-07-13T00:00:00-07:00,SYN1/RTU-3/COMP_STATUS,44.609,pct
1,2026-07-13T00:01:00-07:00,SYN1/RTU-3/COMP_STATUS,45.719,pct
2,2026-07-13T00:02:00-07:00,SYN1/RTU-3/COMP_STATUS,44.754,pct
3,2026-07-13T00:03:00-07:00,SYN1/RTU-3/COMP_STATUS,44.635,pct
4,2026-07-13T00:04:00-07:00,SYN1/RTU-3/COMP_STATUS,44.260,pct
5,2026-07-13T00:05:00-07:00,SYN1/RTU-3/COMP_STATUS,45.050,pct
6,2026-07-13T00:06:00-07:00,SYN1/RTU-3/COMP_STATUS,44.883,pct
7,2026-07-13T00:07:00-07:00,SYN1/RTU-3/COMP_STATUS,44.615,pct
8,2026-07-13T00:08:00-07:00,SYN1/RTU-3/COMP_STATUS,44.964,pct
9,2026-07-13T00:09:00-07:00,SYN1/RTU-3/COMP_STATUS,45.570,pct
10,2026-07-13T00:10:00-07:00,SYN1/RTU-3/COMP_STATUS,44.826,pct
11,2026-07-13T00:11:00-07:00,SYN1/RTU-3/COMP_STATUS,44.900,pct
12,2026-07-13T00:12:00-07:00,SYN1/RTU-3/COMP_STATUS,45.299,pct
13,2026-07-13T00:13:00-07:00,SYN1/RTU-3/COMP_STATUS,44.609,pct
14,2026-07-13T00:14:00-07:00,SYN1/RTU-3/COMP_STATUS,45.531,pct
15,2026-07-13T00:15:00-07:00,SYN1/RTU-3/COMP_STATUS,45.631,pct
16,2026-07-13T00:16:00-07:00,SYN1/RTU-3/COMP_STATUS,44.724,pct
17,2026-07-13T00:17:00-07:00,SYN1/RTU-3/COMP_STATUS,44.331,pct
18,2026-07-13T00:18:00-07:00,SYN1/RTU-3/COMP_STATUS,44.690,pct
19,2026-07-13T00:19:00-07:00,SYN1/RTU-3/COMP_STATUS,44.995,pct
20,2026-07-13T00:20:00-07:00,SYN1/RTU-3/COMP_STATUS,45.733,pct
21,2026-07-13T00:21:00-07:00,SYN1/RTU-3/COMP_STATUS,45.029,pct
22,2026-07-13T00:22:00-07:00,SYN1/RTU-3/COMP_STATUS,44.856,pct
23,2026-07-13T00:23:00-07:00,SYN1/RTU-3/COMP_STATUS,45.467,pct
24,2026-07-13T00:24:00-07:00,SYN1/RTU-3/COMP_STATUS,44.999,pct
25,2026-07-13T00:25:00-07:00,SYN1/RTU-3/COMP_STATUS,45.545,pct
26,2026-07-13T00:26:00-07:00,SYN1/RTU-3/COMP_STATUS,45.738,pct
27,2026-07-13T00:27:00-07:00,SYN1/RTU-3/COMP_STATUS,45.379,pct
28,2026-07-13T00:28:00-07:00,SYN1/RTU-3/COMP_STATUS,45.054,pct
29,2026-07-13T00:29:00-07:00,SYN1/RTU-3/COMP_STATUS,45.253,pct
30,2026-07-13T00:30:00-07:00,SYN1/RTU-3/COMP_STATUS,45.531,pct
31,2026-07-13T00:31:00-07:00,SYN1/RTU-3/COMP_STATUS,45.420,pct
32,2026-07-13T00:32:00-07:00,SYN1/RTU-3/COMP_STATUS,44.379,pct
33,2026-07-13T00:33:00-07:00,SYN1/RTU-3/COMP_STATUS,45.728,pct
